FormID;Block;Sub-Block;EditorID;Name;Ownership;Location;LightingTemplate;ImageSpace;AcousticSpace;Music;Navmeshes;References;Persistent;Deleted;Disabled;Spawns;SpawnsList;Lights;Sounds;Furnitures;Containers
[020FC453];9;9;CYRKvatchFireheartHotelBathhouse;Fireheart Hotel Bathhouse;CYRKvatchFireheartHotelFaction;CYRKvatchFireheartHotelLocation;;;;CYRMUSTavernWest;0;19;1;0;0;0;;0;0;0;0
[02088607];9;9;CYRSedorV202;Maw of Sedor;;CYRSedorLocation;IceCave_HobsFall_LightingTemplateFar;IceImagespace;IntRoomStoneMediumAcousticSpace;CYRMUSDungeonAyleid;7;729;22;0;0;14;CYRLvlAyleidSkeletonBow,CYRLvlAyleidSkeletonMelee,CYRLvlAyleidUndeadBowHoldPos,CYRLvlAyleidUndeadMelee1H,CYRLvlAyleidUndeadMelee2H,CYRLvlBanditMissile;16;0;0;9
[02085A47];9;9;CYRUnderpall02;Underpall Keep;;CYRUnderpallLocation;GreenCaveCloseDark;FrostmereCryptImagespace;IntDungeonFortLargeAcousticSpace;CYRMUSDungeonCave;3;1897;53;0;1;24;CYREncRatNecroAlly,CYRLvlWarlockNecromancer,CYRLvlWarlockNecromancerAggro1024,CYRLvlWarlockNecromancerHoldPos256,CYRLvlZombie,CYRTreasCorpseBanditDarkElfMale,CYRTreasCorpseBanditImperialMale,CYRTreasCorpseCommonerBretonFemale,CYRTreasCorpseCommonerImperialMale,CYRTreasCorpseCommonerNordMale,CYRTreasCorpseCommonerRedguardFemale,CYRTreasCorpseCommonerWoodElfMale,CYRTreasCorpseHunterImperialMNibenese,CYRTreasCorpseMinerNordFemale;40;0;11;56
[020FA955];9;8;CYRBravilInterior21A;Oghlan Gurumakh's House;;;RiftenInteriors;RiftenInterior_ImageSpace;;;0;0;0;0;0;0;;0;0;0;0
[020EFD11];9;8;CYRVoteporixsTomb01;Voteporix's Tomb;;;CYRCastleIntTemplate;;;;1;594;8;0;0;14;BSKEncZombie02,BSKEncZombie03;33;0;6;38
[020D79F5];9;8;CYRKvatchChapelofAkatosh;Chapel of Akatosh;CYRKvatchChapelofAkatoshFaction;CYRKvatchChapelofAkatoshLocation;CYRCathedralIntTemplate;BleakFallsBarrowImagespace01;IntRoomStoneLargeAcousticSpace;CYRMUSTown;1;262;14;0;0;0;;23;0;18;2
[020B0CDD];9;8;CYRHauntedMine;Haunted Mine;;;CYRDarkDungeonMedium;WetInteriorImageSpace;IntDungeonMineLarge01;CYRMUSDungeonCave;4;4903;25;0;0;65;CYRAltmerMaleAyleidExpert_HauntedMine_Ghost_20,CYRArgonianMaleMiner_HauntedMine_Ghost_08,CYRBretonlMaleMiner_HauntedMine_Ghost_17,CYRdunAyleidSkeleton01Melee1H,CYRdunAyleidSkeleton02BossMagic,CYRdunAyleidSkeleton02BossMelee,CYRdunAyleidSkeleton02Magic,CYRdunAyleidSkeleton02Missile,CYRdunAyleidSkeleton03BossMagic,CYRdunAyleidSkeleton03BossMelee,CYRdunAyleidSkeleton03Magic,CYRdunAyleidSkeleton03Melee1H,CYRdunAyleidSkeleton03Melee2H,CYRdunAyleidSkeleton03Missile,CYRdunAyleidSkeleton04Magic,CYRdunAyleidSkeleton04Melee1H,CYRdunAyleidSkeleton04Melee2H,CYRdunAyleidSkeleton04Missile,CYRdunAyleidSkeleton05BossLich,CYRdunAyleidSkeleton05BossMelee,CYRdunAyleidSkeleton05Melee1H,CYRdunAyleidSkeleton05Melee2H,CYRdunAyleidSkeleton05Missile,CYRdunAyleidSkeleton06Magic,CYRdunAyleidSkeleton06Melee1H,CYRdunAyleidSkeleton06Melee2H,CYRDunmerlMaleMiner_HauntedMine_Ghost_16,CYRImpelFemaleMiner_HauntedMine_Ghost_06,CYRImpelMaleMiner_HauntedMine_Ghost_01,CYRImpelMaleMiner_HauntedMine_Ghost_02,CYRImpelMaleMiner_HauntedMine_Ghost_03,CYRImpelMaleMiner_HauntedMine_Ghost_04,CYRImpelMaleMiner_HauntedMine_Ghost_05,CYRImpelMaleMiner_HauntedMine_Ghost_09,CYRImpelMaleMiner_HauntedMine_Ghost_10,CYRImpelMaleMiner_HauntedMine_Ghost_11,CYRImpelMaleMiner_HauntedMine_Ghost_14,CYRImpelMaleMiner_HauntedMine_Ghost_15,CYRImperialMaleMiner_HauntedMine_Ghost_18,CYRKhajiitMaleMiner_HauntedMine_Ghost_12,CYRNordMaleMiner_HauntedMine_Ghost_07,CYROrcMaleMiner_HauntedMine_Ghost_13,CYRTreasAltmerMaleAyleidExpert_HauntedMine_Corpse_20,CYRTreasBretonlMaleMiner_HauntedMine_Corpse_17,CYRTreasDunmerlMaleMiner_HauntedMine_Corpse_16,CYRTreasImperialMaleGuard_HauntedMine_Corpse_19,CYRTreasImperialMaleGuard_HauntedMine_Ghost_19,CYRTreasImperialMaleMiner_HauntedMine_Corpse_18,CYRTreasrArgonianMaleMiner_HauntedMine_Corpse_08,CYRTreasrImpelFemaleMiner_HauntedMine_Corpse_06,CYRTreasrImpelMaleMiner_HauntedMine_Corpse_01,CYRTreasrImpelMaleMiner_HauntedMine_Corpse_02,CYRTreasrImpelMaleMiner_HauntedMine_Corpse_03,CYRTreasrImpelMaleMiner_HauntedMine_Corpse_04,CYRTreasrImpelMaleMiner_HauntedMine_Corpse_05,CYRTreasrImpelMaleMiner_HauntedMine_Corpse_09,CYRTreasrImpelMaleMiner_HauntedMine_Corpse_10,CYRTreasrImpelMaleMiner_HauntedMine_Corpse_11,CYRTreasrImpelMaleMiner_HauntedMine_Corpse_14,CYRTreasrImpelMaleMiner_HauntedMine_Corpse_15,CYRTreasrKhajiitMaleMiner_HauntedMine_Corpse_12,CYRTreasrNordMaleMiner_HauntedMine_Corpse_07,CYRTreasrOrcMaleMiner_HauntedMine_Corpse_13;65;0;19;5
[0207F129];9;8;CYRFortHorunn01;Fort Horunn;;CYRFortHorunnLocation;HelgenKeepClose;WetInteriorImageSpace;IntDungeonFortAcousticSpace;CYRMUSDungeonFort;1;975;54;0;3;4;CYRLvlWarlockConjurer,CYRLvlWarlockConjurerMale,LvlWarlockAtronachCompanion;16;2;4;22
[0207CAE1];9;8;CYRRielle02;Crypt of Rielle;;CYRRielleLocation;CYRAyleidLightingMedium;IceImagespace;CYRIntDungeonAyleidRuinAcousticSpace;CYRMUSDungeonAyleid;1;734;43;0;0;13;CYRdunRielleTreasCorpseSynodResearcher01,CYRdunRielleTreasCorpseSynodResearcher02,CYRdunRielleTreasCorpseSynodResearcher03,CYRdunRielleTreasCorpseSynodResearcher04,CYRLvlAyleidUndeadAmbushMeleeAny,CYRLvlAyleidUndeadBossAny,CYRLvlAyleidUndeadBow,CYRLvlAyleidUndeadMagic,CYRLvlAyleidUndeadMelee1H;19;1;5;31
[0200137D];9;8;CYRBrumaIceWindTraders;Ice-Wind Traders;CYRBrumaIceWindTradersFaction;CYRBrumaIceWindTradersLocation;WhiteRunIntMedLightingTemplate;WhiteRunIntIS;IntRoomWoodMediumAcousticSpace;CYRMUSTown;1;384;18;0;0;1;CYRCedusPerusius;7;0;8;28
