FormID;Block;Sub-Block;EditorID;Name;Ownership;Location;LightingTemplate;ImageSpace;AcousticSpace;Music;Navmeshes;References;Persistent;Deleted;Disabled;Spawns;SpawnsList;Lights;Sounds;Furnitures;Containers
[0009CCDD];9;6;RiftenValindorsHouse;Valindor's House;Valindor;RiftenValindorsHouseLocation;RiftenRatwayMed;;IntRoomStoneMediumAcousticSpace;MUSTownTest;0;4;1;0;1;0;;0;0;1;1
[00015229];9;6;RannveigsFast01;Rannveig's Fast;;RannveigsFastLocation;RannveigsFarTemplate;RannveigsImagespace;IntDungeonCatacombsAcousticSpace;MUSDungeonCave;0;1;0;0;0;0;;0;0;0;0
[02007D95];9;4;testGiant;Its baaaaaack;;;AlikrBaseLightingTemplate;CaveImageSpace;IntDungeonCave;MUSDungeonCave;1;285;3;0;1;1;DLC1TestPhilAtronach;6;0;0;0
[0200373B];9;3;TestRSearsDLC01;TestRSears;;;DwarvenLightingTemplate;;;;0;195;2;0;0;0;;21;0;0;0
[00015201];9;2;TolvaldsCave01;Tolvald's Cave;;TolvaldsCaveLocation;GreenCaveMedium;DefaultImageSpaceDungeon;IntDungeonCave;MUSDungeonCave;0;4;0;0;0;0;;0;0;0;0
[0200A3BF];9;1;DLC1WarehousePrefabs;Quick Test Cell;;;DefaultLightingTemplate;AAAPurkeyCave01;;;2;289;27;0;0;3;DLC1LvlChaurusHunterCocoonAmbushLevelGated,DLC1LvlChaurusHunterPodAmbush_AltFalmerMissile,DLC1SoulCairnWisp;7;6;2;0
[02001DB9];9;0;TESTRyanJDLC;Swindler's Den;;SwindlersDenLocation;AlikrBaseLightingTemplate;CaveImageSpace;IntDungeonCave;MUSDungeonCave;2;550;2;0;0;1;DLC01SoulCairnReaper;6;0;0;0
[0002D5D1];9;0;CronvangrHall02;Cronvangr Broodlair;;CronvangrHallLocation;CidhnaMine_LightingTemplate;CaveImageSpace;IntDungeonCave;MUSDungeonCave;0;0;0;0;0;0;;0;0;0;0
[00013810];8;8;WinterholdCollegeArcanaeum;The Arcanaeum;UraggroShub;WinterholdCollegeArcanaeumLocation;FarmLightingTemplate;FarmInteriorIS;IntRoomStoneLargeAcousticSpace;_NONE;0;4;2;0;0;0;;0;0;0;0
[02000EB8];8;6;DLC1DimHollowCrypt01;Dimhollow Crypt;;DLC1DimhollowCryptLocation;DLC1DarkDungeonFar;BleakFallsBarrowImagespace01;IntDungeonCave;MUSDungeonIce;1;1343;62;0;7;36;DLC1EncDeathHound_Indoor,DLC1LvlDeathHound,DLC1LvlVampireFemaleVampire,DLC1LvlVampireMaleVampire,DLC1VCSkeletonWarrior1h1_Ambush,DLC1VQ01GiantSpider,DLC1VQ01LvlDraugr,DLC1VQ01VigilantTolanCorpse,EncFrostbiteSpider,EncFrostbiteSpiderLarge,EncSkeleton01AmbushMelee1H,EncSkeleton01AmbushMelee1HShield,EncSkeleton01AmbushMissile,LvlAnimalMountainSnowPredator,LvlDraugrAmbushMelee1HMale,LvlVampire,LvlVampireBoss,TreasCorpseDraugrFemale,TreasCorpseDraugrMale,TreasCorpseSkeleton,TreasCorpseVampireBretonFemale,TreasCorpseVampireHighElfMale;42;23;11;19
[0001528C];8;6;DustmansCairn01;Dustman's Cairn;;DustmansCairnLocation;GreenCaveMedium;DefaultImageSpaceDungeon;IntDungeonCatacombsAcousticSpace;MUSDungeon;0;2;2;0;0;0;;0;0;0;0
[02007D94];8;4;testPhil;There's a spider on your shoulder;;;DefaultLightingTemplate;AAAPurkeyCave01;;;1;14;0;0;0;0;;2;0;0;0
[0009B238];8;4;BluePalaceWing01;Pelagius Wing;;BluePalaceWingLocation;BleakFallsBarrowMedium;BleakFallsBarrowImagespace01;IntRoomStoneMediumAcousticSpace;MUSTownTest;0;4;2;0;2;0;;0;0;0;0
[0006C3B6];8;1;AAADeleteWhenDoneTestJeremy;TestTony;;DLC1SoulCairnLocation;DefaultLightingTemplate;SolitudeInteriorIS;;;0;0;0;0;0;0;;0;0;0;0
[02007203];7;8;DLC1VampireCastleZCell1;Volkihar North Tower;;DLC1VampireCastleDungeonLocation;DLC1VolkhairCastleCloseLT;AAAPurkeyCave01;IntDungeonFortAcousticSpace;MUSDungeonDLCVampireCastle;1;345;9;0;0;4;DLC1LvlGargoyle_Ambush,DLC1VCSkeletonMage_Ambush,DLC1VCSkeletonWarrior2h_Ambush,DLC1VCSkeletonWarriorMissile2_Ambush;6;0;13;5
[0001529F];7;8;DarklightTower01;Darklight Tower;;DarklightTowerLocation;DarklightTowerTemplate;DefaultImageSpaceDungeon;IntDungeonFortAcousticSpace;MUSDungeonFort;0;1;0;0;0;0;;0;0;0;0
[020042B5];7;7;testL;testl;;DLC1SoulCairnLocation;DLC1VolkhairCastleLT;DefaultImageSpace;;_NONE;0;209;14;0;2;4;LvlDraugrAmbushMelee1HMale,LvlDraugrAmbushMelee2HMale,LvlDraugrMissileMale,LvlDraugrWarlockMale;10;0;3;1
[02001C09];7;7;DLC1GlacialCrevice01;Glacial Crevice;;DLC1GlacialCreviceLocation;IceCaveFar;DefaultImageSpaceDungeonBrightSky;IntDungeonCaveIce02Large;MUSDungeonIce;2;1079;58;0;2;24;EncTrollFrost,LvlFalmerAmbushMelee,LvlFalmerCompanion,LvlFalmerMelee,LvlFalmerMissile,LvlFalmerMissileHoldPosition256,LvlFalmerShaman,LvlFalmerShamanHoldPosition256,LvlFalmerSpellsword,TreasCorpseFalmer;17;28;1;10
[0200A903];7;6;DLC1zSoulCairn01;Cave;;ReachcliffCaveLocation;GreenCaveMedium;DefaultImageSpaceDungeon;IntDungeonCave;MUSDungeonCave;0;37;0;0;0;0;;1;0;0;0
[02000EB7];7;6;DLC1DimHollowCrypt02;Dimhollow Cavern;;DLC1DimhollowCryptLocation;DLC1DarkDungeonFar;BleakFallsBarrowImagespace01;IntDungeonCave;MUSDungeonIce;9;1861;105;0;6;23;DLC1LvlGargoyle_Ambush,DLC1LvlVampireBossMaleVampireNord,DLC1LvlVampireFemaleVampire,DLC1Serana,DLC1VCSkeletonMage,DLC1VCSkeletonWarrior2h,DLC1VigilantAdalvald,EncSkeleton01AmbushMelee1HShield,EncSkeleton01AmbushMissile,EncSkeleton01Melee1Hshield,EncSkeleton01Missile,LvlDraugrAmbushMelee1HMale,LvlDraugrAmbushMissileFemale,LvlDraugrBossMale,LvlVampireThrallMelee2H,TreasCorpseDraugrFemale,TreasCorpseDraugrMale,TreasCorpseSkeletonRigid,TreasCorpseWarlockSkeletal;29;13;25;13
[02006439];7;5;SoulCairnZcell01;Dark Chasm;;;;DefaultImageSpaceDungeon;IntDungeonCave;MUSDungeonCave;1;88;0;0;0;2;DLC1LvlSoulCairnBonemanMissile;1;0;0;2
[0005D01D];7;5;WinterholdTheFrozenHearthCellar;The Frozen Hearth Cellar;WinterholdFrozenHearthFaction;WinterholdTheFrozenHearthLocation;FarmLightingTemplate;FarmInteriorIS;IntRoomStoneNarrowAcousticSpace;MUSTavern;0;2;1;0;1;0;;0;0;1;0
[00016EA1];7;5;BloodletThrone01;Bloodlet Throne;;BloodletThroneLocation;IceCaveMedium;IceImagespace;IntDungeonCaveIce01;MUSDungeonIce;1;15;10;0;0;5;DLC1LvlDeathHound,DLC1LvlGargoyle_Ambush;0;0;3;0
[00052FEB];7;4;Kagrenzel01;Kagrenzel;;KagrenzelLocation;FalmerTemplateFar;FalmerImageSpaceSuperFar01;IntDungeonDwemerMedium;MUSDungeon;0;0;0;0;0;0;;0;0;0;0
