FormID;Block;Sub-Block;EditorID;Name;Ownership;Location;LightingTemplate;ImageSpace;AcousticSpace;Music;Navmeshes;References;Persistent;Deleted;Disabled;Spawns;SpawnsList;Lights;Sounds;Furnitures;Containers
[02026E93];9;7;DLC2GlacialCave;Glacial Cave;;DLC2GlacialCaveLocation;IceCaveMedium;DefaultImageSpace;IntDungeonCaveIce01;MUSDungeonIce;1;180;11;0;0;3;DLC2LvlRieklingMeleeAmbush,DLC2LvlRieklingMissileAmbush;6;3;4;3
[020142F7];9;7;DLC2Frossel01;Frossel;;DLC2FrosselLocation;IceCaveMedium;DefaultImageSpace;IntDungeonCaveIce01;MUSDungeonIce;2;1590;77;0;0;21;DLC2LvlBoar,DLC2LvlMountedRieklingBoss,DLC2LvlRieklingMelee,DLC2LvlRieklingMeleeAmbush,DLC2LvlRieklingMeleeAmbushBarrel,DLC2LvlRieklingMissile;33;7;17;44
[020142ED];9;6;DLC2WhiteRidgeBarrow01;White Ridge Barrow;;DLC2WhiteRidgeBarrowLocation;KarthspireMediumTemplate;DwarvenImagespace01;IntDungeonFortAcousticSpace;MUSDungeonFort;2;1269;70;0;2;31;DLC2ExpSpiderAlbino,DLC2ExpSpiderAlbinoEMPTY,DLC2ExpSpiderFireCloaking,DLC2ExpSpiderFireJumping,DLC2ExpSpiderZombieLvlBanditMelee1H,DLC2ExpSpiderZombieLvlBanditMissile,DLC2TreasCorpseBanditMagicDarkElfMale01,DLC2TreasCorpseBanditMagicDarkElfMale02,DLC2TreasCorpseBanditMagicDarkElfMale03,DLC2TreasCorpseBanditMissileDarkElfMale01,LvlDraugrAmbushMelee2HBerserkerMale,TreasCorpseDraugrFemale,TreasCorpseDraugrMale,TreasCorpseSkeletonRigid;30;3;9;21
[0201BBFB];9;5;DLC2BristlebackCave01;Bristleback Cave;;DLC2BristlebackCaveLocation;DLC2CastleKarstaagIceCaveLTClose;;IntDungeonCaveIce01;MUSDungeonIce;2;2056;200;0;4;59;DLC2LvlBoar,DLC2LvlMountedRiekling,DLC2LvlMountedRieklingBoss,DLC2LvlRieklingMelee,DLC2LvlRieklingMeleeAmbush,DLC2LvlRieklingMeleeAmbushBarrel,DLC2LvlRieklingMissile,DLC2LvlRieklingMissileAmbush,DLC2LvlRieklingMissileAmbushBarrel,DLC2TreasCorpseBanditMagicDarkElfFemale01,DLC2TreasCorpseBanditMelee1HDarkElfMale02;30;8;14;41
[02018F4B];9;1;DLC2SVGreathall;Greathall;DLC2SVGreathallFaction;DLC2SVGreathallLocation;DLC2SkallVillageLT;FarmInteriorIS;IntRoomStoneLargeAcousticSpace;DLC2MUSExploreSolstheimGeneral;1;472;8;0;0;2;DLC2SVFanariStrongVoice,DLC2SVTharstan;5;0;9;29
[010030E7];9;1;ccPlaceholder17Interior01;Creation Club Cell;;;DefaultLightingTemplate;AAAPurkeyCave01;;;1;1;1;0;0;0;;0;0;0;0
[02017EC4];8;8;DLC2RRGloverMalloryHouse;Glover Mallory's House;DLC2RRGloverMalloryFaction;DLC2RRGloverMalloryHouseLocation;FarmLightingTemplate;FarmInteriorIS;IntRoomWoodMediumAcousticSpace;DLC2MUSExploreSolstheimGeneral;1;209;13;0;0;1;DLC2RRGloverMallory;4;0;7;22
[020142F6];8;7;DLC2GyldenhulBarrow01;Gyldenhul Barrow;;DLC2GyldenhulBarrowLocation;BleakFallsBarrowMedium;DefaultImageSpace;IntDungeonMine01;MUSDungeonFort;2;877;229;0;52;22;DLC2dunGyldenhulAdventurer,DLC2dunGyldenhulHaknirSkeleton,DLC2dunHaknir,DLC2dunHaknir_LvlBanditGhostMelee1HFemale,DLC2dunHaknir_LvlBanditGhostMelee2HMale,DLC2dunHaknir_LvlBanditGhostMeleeBerserkerFemale,DLC2dunHaknir_LvlBanditGhostMeleeBerserkerMale,DLC2dunHaknir_LvlBanditGhostMeleeMissileFemale,DLC2dunHaknir_LvlBanditGhostMeleeMissileMale,DLC2dunHaknir_LvlBanditGhostMeleeTankFemale,DLC2dunHaknir_LvlBanditGhostMeleeTankMale,DLC2dunHaknir_LvlBanditGhostWizardFemale,DLC2dunHaknir_LvlBanditGhostWizardMale,DLC2dunHaknirGarukWindrime,DLC2dunHaknirThalinEbonhand;19;1;2;9
[020184F0];8;6;DLC2HighpointTower01;Highpoint Tower;;DLC2HighpointTowerLocation;DefaultLightingTemplate;;IntDungeonFortAcousticSpace;MUSDungeonFort;3;2759;122;0;4;25;DLC2ExpSpiderAlbino,DLC2ExpSpiderFireCloaking,DLC2ExpSpiderFrostCloaking,DLC2Ildari,DLC2LvlAshSpawnAmbushMagic,DLC2LvlAshSpawnAmbushMelee1H,DLC2LvlAshSpawnAmbushMelee2H,DLC2LvlAshSpawnAmbushMeleeAny,DLC2LvlAshSpawnMagic,DLC2LvlAshSpawnMelee1H,DLC2LvlAshSpawnMelee2H,DLC2Niyya,TreasCorpseSkeletonRigid;70;7;34;62
[02017A00];8;6;DLC2SVShamansHutInterior;Shaman's Hut;DLC2SkaalShamanFaction;DLC2SVShamansHutLocation;DLC2SkallVillageLT;DefaultImageSpace;IntRoomWoodMediumAcousticSpace;DLC2MUSExploreSolstheimGeneral;2;208;4;0;1;2;DLC2Frea,DLC2Storn;7;0;9;14
