FormID;Block;Sub-Block;EditorID;Name;Ownership;Location;LightingTemplate;ImageSpace;AcousticSpace;Music;Navmeshes;References;Persistent;Deleted;Disabled;Spawns;SpawnsList;Lights;Sounds;Furnitures;Containers
[00016BDD];9;4;RiftenHoneyside;Honeyside;;RiftenHoneysideLocation;RiftenInteriors;RiftenInterior_ImageSpace;IntRoomStoneNarrowAcousticSpace;MUSExploreForestPine;1;145;34;0;8;0;;0;0;12;2
[00016BD3];9;3;RiftenHonorhallOrphanage;Honorhall Orphanage;RiftenHonorhallOrphanageFaction;RiftenHonorhallOrphanageLocation;RiftenInteriors;RiftenInterior_ImageSpace;IntRoomWoodMediumAcousticSpace;MUSTownTest;1;131;12;0;1;5;ConstanceMichel,Francois,Hroar,Runa,Samuel;0;0;36;9
[00016A10];8;8;SolitudeBitsandPieces;Bits and Pieces;SolitudeBitsAndPiecesFaction;SolitudeBitsAndPiecesLocation;SolitudeInteriors;SolitudeInterior_Liz;IntRoomStoneNarrowAcousticSpace;MUSTownTest;0;1;0;0;0;0;;0;0;0;1
[00016A06];8;7;SolitudeProudspireManor;Proudspire Manor;;SolitudeProudspireManorLocation;SolitudeInteriors;SolitudeInteriorLgIS;IntRoomStoneMediumAcousticSpace;MUSTownTest;1;243;63;1;3;0;;3;0;17;5
[02002FEC];8;6;BYOHHouse1Falkreath;Lakeview Manor;;BYOHHouse1LocationInterior;FarmLightingTemplate;FarmInteriorIS;IntRoomWoodMediumAcousticSpace;MUSTownTest;7;2638;960;0;1551;8;BYOHHouse1Bard,BYOHHouseMannequin;15;0;70;329
[02016A56];8;5;BYOHHouse3Pale;Heljarchen Hall;;BYOHHouse3LocationInterior;FarmLightingTemplate;FarmInteriorIS;IntRoomWoodMediumAcousticSpace;MUSTownTest;7;2635;960;0;1550;8;BYOHHouse3Bard,BYOHHouseMannequin;15;0;67;330
[000165AF];7;6;WhiterunHouseBattleBorn;House of Clan Battle-Born;WhiterunHouseBattleBornFaction;WhiterunHouseofClanBattleBornLocation;WhiteRunIntLightingTemplate;WhiteRunIntIS;IntRoomWoodLargeAcousticSpace;MUSTownTest;0;1;1;0;0;1;LarsBattleBorn;0;0;0;0
[02016A55];7;5;BYOHHouse3PaleBasement;Heljarchen Hall, Cellar;;BYOHHouse3LocationInterior;WhiteRunIntMedLightingTemplate;;;MUSTownTest;2;355;84;0;94;1;BYOHHouseMannequin;6;0;8;42
[0002C779];7;3;DawnstarQuicksilverMine;Quicksilver Mine;;DawnstarQuicksilverMineLocation;CidhnaMine_LightingTemplate;DefaultImageSpaceDungeon;IntDungeonMine01;MUSDungeonCave;0;3;3;0;0;3;Borgny,Edith,LondNorthstrider;0;0;0;0
[000161EF];7;0;HalfMoonMill;Half-Moon Mill;HalfMoonMillFaction;HalfMoonLumberMillLocation;FarmLightingTemplate;FarmInteriorIS;IntRoomWoodMediumAcousticSpace;MUSExploreForestPine;0;1;1;0;0;1;Hert;0;0;0;0
[00016A0E];6;8;SolitudeWinkingSkeever;The Winking Skeever;SolitudeWinkingSkeeverFaction;SolitudeWinkingSkeeverLocation;SolitudeInteriors;SolitudeInterior_Liz;IntRoomStoneMediumAcousticSpace;MUSTavernB;0;2;2;0;0;2;CorpulusVinius,MinetteVinius;0;0;0;0
[000138CC];6;7;MorthalHighmoonHall;Highmoon Hall;MorthalLonghouseFaction;MorthalHighmoonHallLocation;FarmLightingTemplate;FarmInteriorIS;IntRoomStoneMediumAcousticSpace;MUSExploreMountain;0;4;4;0;1;1;BYOHHousecarlHjaalmarch;0;0;0;0
[02015154];6;5;BYOHHouse2HjaalmarchBasement;Windstad Manor, Cellar;;BYOHHouse2LocationInterior;WhiteRunIntMedLightingTemplate;;;MUSTownTest;2;355;84;0;94;1;BYOHHouseMannequin;6;0;8;42
