FormID;Block;Sub-Block;EditorID;Name;Ownership;Location;LightingTemplate;ImageSpace;AcousticSpace;Music;Navmeshes;References;Persistent;Deleted;Disabled;Spawns;SpawnsList;Lights;Sounds;Furnitures;Containers
[0004B8FB];9;9;StonyCreekCave01;Stony Creek Cave;;StonyCreekCaveLocation;GreenCaveMedium;DefaultImageSpaceDungeon;IntDungeonCave;MUSDungeonCave;0;1;1;0;0;0;;0;0;0;0
[000BA599];9;8;BrokenOarGrotto01;Broken Oar Grotto;;BrokenOarGrottoLocation;GreenCaveFar;DefaultImageSpaceDungeon;IntDungeonCave;MUSDungeonCave;0;1;0;0;0;0;;0;0;0;0
[000361F9];9;8;Bthardamz02;Bthardamz Lower District;;BthardamzLocation;DwarvenLightingTemplate;DwarvenImagespace01;IntDungeonDwemerMedium;MUSDungeon;0;9;2;0;0;0;;1;0;1;0
[000152A1];9;8;Korvanjund01;Korvanjund Temple;;KorvanjundLocation;BleakFallsBarrowMedium;DefaultImageSpace;IntDungeonCatacombsAcousticSpace;MUSDungeon;0;1;1;0;0;0;;0;0;0;0
[0001523D];9;8;Mzinchaleft01;Mzinchaleft;;MzinchaleftLocation;DwarvenLightingTemplate;DwarvenImagespace01;IntDungeonDwemerMedium;MUSDungeonFort;0;2;2;0;1;1;DBContractMaluril;0;0;0;0
[0618F4FB];9;7;DBMDGHallofSecrets;Hall of Secrets;PlayerFaction;DBM_HallOfSecretsLocation;DBM_MuseumTemplateNew;InteriorSaturateMore;IntRoomStoneMediumAcousticSpace;DBM_DGHOSMusicLST;2;670;96;0;79;1;PlayerHouseMannequin;20;0;0;2
[04026E93];9;7;DLC2GlacialCave;Glacial Cave;;DLC2GlacialCaveLocation;IceCaveMedium;DefaultImageSpace;IntDungeonCaveIce01;MUSDungeonIce;0;3;2;0;1;0;;0;0;0;0
[040142F7];9;7;DLC2Frossel01;Frossel;;DLC2FrosselLocation;IceCaveMedium;DefaultImageSpace;IntDungeonCaveIce01;MUSDungeonIce;0;2;2;0;0;0;;0;0;0;0
[00016A07];9;7;SolitudeVittoriaVicisHouse;Vittoria Vici's House;VittoriaVici;SolitudeVittoriaVicisHouseLocation;SolitudeInteriors;SolitudeInteriorIS;IntRoomStoneNarrowAcousticSpace;MUSTownTest;0;3;0;0;0;0;;0;0;0;0
[00015233];9;7;Orotheim01;Orotheim;;OrotheimLocation;GreenCaveMedium;DefaultImageSpaceDungeon;IntDungeonCave;MUSDungeonCave;0;1;0;0;0;0;;0;0;0;1
