FormID;Block;Sub-Block;EditorID;Name;Ownership;Location;LightingTemplate;ImageSpace;AcousticSpace;Music;Navmeshes;References;Persistent;Deleted;Disabled;Spawns;SpawnsList;Lights;Sounds;Furnitures;Containers
[0004B8FB];9;9;StonyCreekCave01;Stony Creek Cave;;StonyCreekCaveLocation;GreenCaveMedium;DefaultImageSpaceDungeon;IntDungeonCave;MUSDungeonCave;3;572;36;0;0;11;LvlBanditMelee1H,LvlBanditMissile,LvlBanditWizard,TreasCorpseCommonerBretonMale,TreasCorpseSkeleton;29;38;5;10
[000352C7];9;9;FortGreymoor02;Fort Greymoor Prison;;FortGreymoorLocation;ImperialFortCloseTemplate;DefaultImageSpaceDungeon;IntDungeonFortAcousticSpace;MUSDungeonFort;5;289;26;0;0;6;EncTroll,TreasCorpseCommonerHighElfFemale,TreasCorpseCWImperialMale,TreasCorpseCWSonsMale,TreasCorpseHunterImperialM,TreasCorpseHunterRedguardM;12;1;8;5
[000161E7];9;9;WhistlingMine01;Whistling Mine;WhistlingMineFaction;WhistlingMineInteriorLocation;IceCave_HobsFall_LightingTemplate;IceMineImagespace;;MUSDungeonCave;1;302;11;0;0;4;Angvid,Badnir,Gunding,Thorgar;7;0;9;8
[00013A73];9;9;FalkreathLodsHouse;Lod's House;Lod;FalkreathLodsHouseLocation;FarmLightingTemplate;FarmInteriorIS;IntRoomWoodMediumAcousticSpace;MUSExploreForestPine;2;195;3;0;1;1;Lod;6;1;7;10
[000BA599];9;8;BrokenOarGrotto01;Broken Oar Grotto;;BrokenOarGrottoLocation;GreenCaveFar;DefaultImageSpaceDungeon;IntDungeonCave;MUSDungeonCave;1;2057;155;0;2;21;dunBrokenOarHargar,DunBrokenOarLvlBanditMissileHoldPos256LinkRef,MS07LvlBlackbloodMeleeBerserkerCommonerM,MS07LvlBlackbloodMeleeTankEvenTonedM,MS07LvlBlackbloodMissileNordM,TreasCorpseSkeleton;46;8;27;80
[00042BED];9;8;Mistwatch02;Mistwatch West Tower;;MistwatchLocation;HelgenKeepClose;DefaultImageSpaceDungeon;IntDungeonFortAcousticSpace;MUSDungeonFort;1;285;17;0;0;5;dunMistwatchLvlBanditMeleeBerserker,dunMistwatchLvlBanditMeleeOrcM,dunMistwatchLvlBanditMeleeTank,dunMistwatchLvlBanditMissile,TreasCorpseCommonerImperialFemale;14;0;12;2
[000361F9];9;8;Bthardamz02;Bthardamz Lower District;;BthardamzLocation;DwarvenLightingTemplate;DwarvenImagespace01;IntDungeonDwemerMedium;MUSDungeon;5;1804;60;0;1;23;DA13LvlAfflictedMelee1H,DA13LvlAfflictedMeleeTank,DA13LvlAfflictedMissile,DA13LvlAfflictedWizard,LvlDwarvenSphereAmbush,LvlDwarvenSpiderAmbush,TreasCorpseSkeleton;44;6;109;7
[00016A11];9;8;SolitudeAngelinesAromatics;Angeline's Aromatics;SolitudeAngelinesAromaticsFaction;SolitudeAngelinesAromaticsLocation;SolitudeInteriors;SolitudeInteriorIS;IntRoomWoodMediumAcousticSpace;MUSTownTest;2;731;9;0;0;3;AngelineMorrard,JareeRa,VivienneOnis;19;0;18;24
[000152A1];9;8;Korvanjund01;Korvanjund Temple;;KorvanjundLocation;BleakFallsBarrowMedium;DefaultImageSpace;IntDungeonCatacombsAcousticSpace;MUSDungeon;2;1344;99;0;2;30;dunKorvanjundImpSoldierDead,dunKorvanjundSonsSoldierDead,MQ103ImperialSoldier,MQ103ImperialSoldierArcher,MQ103ImperialSoldierEavesdrop01a,MQ103ImperialSoldierEavesdrop01b,MQ103SonsOfSkyrimEavesdrop01a,MQ103SonsOfSkyrimEavesdrop01b,MQ103SonsOfSkyrimSoldier,MQ103SonsOfSkyrimSoldierArcher,TreasCorpseBanditNordMale,TreasCorpseSkeletonRigid;43;5;6;24
[0001523D];9;8;Mzinchaleft01;Mzinchaleft;;MzinchaleftLocation;DwarvenLightingTemplate;DwarvenImagespace01;IntDungeonDwemerMedium;MUSDungeonFort;2;1496;91;0;3;26;DBContractMaluril,EncDwarvenSpider02,LvlBanditMeleeAny,LvlBanditMeleeTank,LvlBanditMissile,LvlBanditWizard,LvlDwarvenSphere,LvlDwarvenSphereAmbush,LvlDwarvenSpiderAmbush,TreasCorpseDwarvenCenturion,TreasCorpseDwarvenSphere,TreasCorpseDwarvenSpider;49;7;28;13
