FormID;Block;Sub-Block;EditorID;Name;Ownership;Location;LightingTemplate;ImageSpace;AcousticSpace;Music;Navmeshes;References;Persistent;Deleted;Disabled;Spawns;SpawnsList;Lights;Sounds;Furnitures;Containers
[000BA599];9;8;BrokenOarGrotto01;Broken Oar Grotto;;BrokenOarGrottoLocation;GreenCaveFar;DefaultImageSpaceDungeon;IntDungeonCave;MUSDungeonCave;0;34;1;0;0;0;;0;0;0;0
[040142F7];9;7;DLC2Frossel01;Frossel;;DLC2FrosselLocation;IceCaveMedium;DefaultImageSpace;IntDungeonCaveIce01;MUSDungeonIce;0;2;0;0;0;0;;0;0;0;0
[000165B1];9;6;WhiterunCarlottaValentiasHouse;Carlotta Valentia's House;WhiterunCarlottaValentiasHouseFaction;WhiterunCarlottaValentiasHouseLocation;WhiteRunIntLightingTemplate;WhiteRunIntIS;IntRoomWoodMediumAcousticSpace;MUSTownTest;0;1;1;0;0;1;MilaValentia;0;0;0;0
[0401BBFB];9;5;DLC2BristlebackCave01;Bristleback Cave;;DLC2BristlebackCaveLocation;DLC2CastleKarstaagIceCaveLTClose;;IntDungeonCaveIce01;MUSDungeonIce;0;1;0;0;0;0;;0;0;0;0
[000EF325];9;4;FalkreathBarracks;Falkreath Barracks;GuardFactionFalkreath;FalkreathBarracksLocation;FarmLightingTemplate;FarmInteriorIS;IntRoomWoodMediumAcousticSpace;MUSExploreForestPine;0;3;3;0;1;1;ccBGSSSE001_MiscFalkreath_Guard;0;0;2;0
[00015251];9;0;LostKnifeHideout01;Lost Knife Cave;;LostKnifeHideoutLocation;AlikrBaseLightingTemplate;DefaultImageSpaceDungeon;IntDungeonCave;MUSDungeonCave;0;20;1;0;0;0;;0;0;0;0
[000152AA];8;9;Ustengrav02;Ustengrav Depths;;UstengravLocation;UstengravLarge;DefaultImageSpaceDungeon;IntDungeonCatacombsAcousticSpace;MUSDungeon;0;3;0;0;0;0;;0;0;0;0
[00016A10];8;8;SolitudeBitsandPieces;Bits and Pieces;SolitudeBitsAndPiecesFaction;SolitudeBitsAndPiecesLocation;SolitudeInteriors;SolitudeInterior_Liz;IntRoomStoneNarrowAcousticSpace;MUSTownTest;0;1;0;0;0;0;;0;0;0;1
[00016A06];8;7;SolitudeProudspireManor;Proudspire Manor;;SolitudeProudspireManorLocation;SolitudeInteriors;SolitudeInteriorLgIS;IntRoomStoneMediumAcousticSpace;MUSTownTest;0;61;34;0;3;0;;0;0;0;1
[00015296];8;7;Darkshade01;Darkshade;;DarkshadeCopseLocation;GreenCaveMedium;DefaultImageSpaceDungeon;IntDungeonCave;MUSDungeonCave;0;6;1;0;0;0;;0;0;0;0
[000138CE];8;7;MorthalMoorsideInn;Moorside Inn;Jonna;MorthalMoorsideInnLocation;FarmLightingTemplate;FarmInteriorIS;IntRoomStoneMediumAcousticSpace;MUSTavern;0;1;0;0;0;0;;0;0;0;0
[000EF324];8;4;FalkreathBarracksJail;Falkreath Jail;GuardFactionFalkreath;FalkreathBarracksJailLocation;FarmLightingTemplate;FarmInteriorIS;IntRoomWoodMediumAcousticSpace;MUSExploreForestPine;0;6;6;0;1;0;;0;0;0;0
[010030E6];8;1;ccPlaceholder18Interior01;Creation Club Cell;;;DefaultLightingTemplate;AAAPurkeyCave01;;;0;70;3;4;0;0;;10;0;1;0
[000B6BE6];8;1;EmbershardMine01;Embershard Mine;;EmbershardLocation;MineTemplateMedium;DefaultImageSpaceDungeon;IntDungeonMine01;MUSDungeonCave;0;13;1;0;0;0;;0;0;0;0
[02000EB7];7;6;DLC1DimHollowCrypt02;Dimhollow Cavern;;DLC1DimhollowCryptLocation;DLC1DarkDungeonFar;BleakFallsBarrowImagespace01;IntDungeonCave;MUSDungeonIce;0;7;0;0;0;0;;0;0;0;0
[03016A55];7;5;BYOHHouse3PaleBasement;Heljarchen Hall, Cellar;;BYOHHouse3LocationInterior;WhiteRunIntMedLightingTemplate;;;MUSTownTest;1;522;214;0;25;0;;5;0;2;30
[00015281];7;5;JaphetsFolly01;Sea Cave;;JaphetsFollyLocation;IceCaveMedium;DefaultImageSpaceDungeon;IntDungeonCaveIce01;MUSDungeonIce;0;1;0;0;0;0;;0;0;0;0
[00016BDB];7;4;RiftenFishery;Riften Fishery;RiftenFisheryFaction;RiftenFisheryLocation;RiftenInteriors;RiftenInterior_ImageSpace;IntRoomWoodMediumAcousticSpace;MUSExploreForestPine;0;111;37;0;14;5;ccBGSSSE001_MudcrabViriyaPetLarge,ccBGSSSE001_MudcrabViriyaPetMedium,ccBGSSSE001_MudcrabViriyaPetSmall,ccBGSSSE001_SwimsInDeepWaters,ccBGSSSE001_Viriya;2;0;3;2
[00016A0E];6;8;SolitudeWinkingSkeever;The Winking Skeever;SolitudeWinkingSkeeverFaction;SolitudeWinkingSkeeverLocation;SolitudeInteriors;SolitudeInterior_Liz;IntRoomStoneMediumAcousticSpace;MUSTavernB;0;17;7;0;6;0;;0;0;1;0
[00015226];6;6;ReachwaterRock01;Reachwater Rock;;ReachwaterRockLocation;GreenCaveMedium;DefaultImageSpaceDungeonBrightSky;IntDungeonCatacombsAcousticSpace;MUSDungeon;0;14;1;0;0;0;;0;0;0;1
[0401A7A8];6;5;DLC2Benkongerike02;Benkongerike Great Hall;;DLC2BenkongerikeLocation;BleakFallsBarrowFar;DefaultImageSpace;IntDungeonCatacombsAcousticSpace;MUSDungeonIce;0;1;0;0;0;0;;0;0;0;0
