FormID;Block;Sub-Block;EditorID;Name;Ownership;Location;LightingTemplate;ImageSpace;AcousticSpace;Music;Navmeshes;References;Persistent;Deleted;Disabled;Spawns;SpawnsList;Lights;Sounds;Furnitures;Containers
[0B0259F3];9;9;CRFIrontreeMillTrilfsHouse;Trilf's House;TownIrontreeMillFaction;IrontreeMillTrilfsHouseLocation;FarmLightingTemplate;FarmInteriorIS;IntRoomWoodMediumAcousticSpace;MUSTownTest;1;122;4;0;0;2;Steirod,Trilf;2;0;6;6
[0001523D];9;8;Mzinchaleft01;Mzinchaleft;;MzinchaleftLocation;DwarvenLightingTemplate;DwarvenImagespace01;IntDungeonDwemerMedium;MUSDungeonFort;0;1;0;0;0;0;;0;0;0;0
[0B0CEF99];9;6;CRFStonehillsTalibHouse;Talib's House;Talib;CRFStonehillsTalibsHouseLocation;FarmLightingTemplate;FarmInteriorIS;IntRoomWoodMediumAcousticSpace;MUSTownTest;1;114;2;0;0;1;Talib;4;0;5;3
[0008B84D];9;6;SunderstoneGorge01;Sunderstone Gorge;;SunderstoneGorgeLocation;AlikrBaseLightingTemplate;ISSkyrimOvercastRainDAY;IntDungeonCave;MUSDungeonCave;0;1;0;0;0;0;;0;0;0;0
[00015229];9;6;RannveigsFast01;Rannveig's Fast;;RannveigsFastLocation;RannveigsFarTemplate;RannveigsImagespace;IntDungeonCatacombsAcousticSpace;MUSDungeonCave;0;1;1;0;1;0;;0;0;0;0
[000965B3];9;5;WindhelmWarehouse;Warehouse;WindhelmEastEmpireFaction;WindhelmEastEmpireCompanyLocation;WindhelmInteriorTemplate03;DefaultImageSpaceDungeon;IntRoomWoodMediumAcousticSpace;MUSExploreMountain;0;4;0;0;0;0;;0;0;0;0
[00015283];9;5;FellglowKeep01;Fellglow Keep Dungeons;;FellglowKeepLocation;DarklightTowerTemplate;DefaultImageSpaceDungeon;IntDungeonFortAcousticSpace;MUSDungeonFort;0;1;1;0;1;1;Orthorn;0;0;0;0
[00016A10];8;8;SolitudeBitsandPieces;Bits and Pieces;SolitudeBitsAndPiecesFaction;SolitudeBitsAndPiecesLocation;SolitudeInteriors;SolitudeInterior_Liz;IntRoomStoneNarrowAcousticSpace;MUSTownTest;0;1;1;0;0;0;;0;0;0;0
[00013A7C];8;0;DragonBridgeFourShieldsTavern;Four Shields Tavern;DragonBridgeFourShieldsInnFaction;DragonBridgeFourShieldsTavernLocation;FarmLightingTemplate;FarmInteriorIS;IntRoomWoodLargeAcousticSpace;MUSTavern;0;1;1;0;0;1;TasiusTragus;0;0;0;0
[0001380F];7;8;WinterholdCollegeHallofCountenance;Hall of Countenance;;WinterholdCollegeDormitoryLocation;FarmLightingTemplate;FarmInteriorIS;IntRoomStoneLargeAcousticSpace;_NONE;0;38;2;0;1;0;;1;0;2;4
[00013A5D];7;7;NightgateInn;Nightgate Inn;Hadring;NightgateInnLocation;FarmLightingTemplate;FarmInteriorIS;IntRoomWoodLargeAcousticSpace;MUSTavern;0;1;1;0;0;0;;0;0;0;0
[00016203];7;2;CidhnaMine01;Cidhna Mine;;CidhnaMineLocation;CidhnaMine_LightingTemplate;CaveImageSpace;IntDungeonMine01;MUSDungeonCave;0;3;2;0;1;0;;1;0;0;0
[000161EF];7;0;HalfMoonMill;Half-Moon Mill;HalfMoonMillFaction;HalfMoonLumberMillLocation;FarmLightingTemplate;FarmInteriorIS;IntRoomWoodMediumAcousticSpace;MUSExploreForestPine;0;1;1;0;0;1;Hern;0;0;0;0
[000213A0];6;9;SolitudeCastleDour;Castle Dour;SolitudeCastleDourFaction;SolitudeCastleDourLocation;SolitudeInteriors;SolitudeInteriorLgIS;IntRoomStoneMediumAcousticSpace;MUSCastle;1;6;1;0;1;0;;0;0;0;0
[0001380E];6;8;WinterholdCollegeHallofTheElements;Hall of the Elements;CollegeofWinterholdFaction;WinterholdCollegeHallofElementsLocation;FarmLightingTemplate;FarmInteriorIS;IntRoomStoneLargeAcousticSpace;_NONE;0;1;0;0;0;0;;0;0;0;0
